,datetime,hum,tamb
0,2018-04-16 03:06:56.203343,40.0,24.0
0,2018-04-16 03:06:59.305961,40.0,24.0
0,2018-04-16 03:07:02.393536,40.0,24.0
0,2018-04-16 03:07:05.483261,40.0,24.0
0,2018-04-16 03:07:08.571739,40.0,24.0
0,2018-04-16 03:07:11.661487,40.0,24.0
0,2018-04-16 03:07:14.751660,40.0,24.0
0,2018-04-16 03:07:17.840058,40.0,24.0
0,2018-04-16 03:07:20.929744,40.0,24.0
0,2018-04-16 03:07:24.019632,40.0,24.0
0,2018-04-16 03:07:27.109233,40.0,24.0
0,2018-04-16 03:07:30.199111,40.0,24.0
0,2018-04-16 03:07:33.288909,40.0,25.0
0,2018-04-16 03:07:36.377744,39.0,25.0
0,2018-04-16 03:07:39.467371,39.0,25.0
0,2018-04-16 03:07:42.557104,39.0,25.0
0,2018-04-16 03:07:45.645450,39.0,25.0
0,2018-04-16 03:07:48.735715,39.0,25.0
